Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S00001,15,Female,High School,Machine Learning,171,4,67,2,89,Medium,51,Visual,1,No
S00002,49,Male,Undergraduate,Python Basics,156,4,64,0,94,Medium,92,Reading/Writing,5,No
S00003,20,Female,Undergraduate,Python Basics,217,2,55,2,67,Medium,45,Reading/Writing,1,No
S00004,37,Female,Undergraduate,Data Science,489,1,65,43,60,High,59,Visual,4,No
S00005,34,Female,Postgraduate,Python Basics,496,3,59,34,88,Medium,93,Visual,3,No
S00006,34,Male,Undergraduate,Web Development,184,1,87,34,70,Medium,43,Visual,4,No
S00007,45,Male,High School,Cybersecurity,454,3,69,46,83,Low,37,Kinesthetic,5,No
S00008,47,Male,High School,Cybersecurity,425,2,62,23,52,High,35,Reading/Writing,5,No
S00009,48,Male,Undergraduate,Cybersecurity,359,1,59,10,88,Medium,49,Reading/Writing,2,No
S00010,45,Female,Undergraduate,Data Science,263,4,63,30,99,Low,61,Auditory,3,No
S00011,29,Male,Postgraduate,Data Science,247,1,80,42,85,High,46,Visual,3,No
S00012,48,Male,Undergraduate,Python Basics,25,1,77,36,58,High,83,Reading/Writing,4,No
S00013,35,Male,High School,Python Basics,190,2,97,4,50,Medium,55,Auditory,3,Yes
S00014,29,Female,Undergraduate,Machine Learning,240,2,97,31,99,Medium,61,Kinesthetic,3,No
S00015,16,Male,High School,Data Science,157,1,30,46,73,Medium,49,Auditory,4,No
S00016,44,Male,Postgraduate,Python Basics,312,4,53,21,90,High,78,Kinesthetic,4,No
S00017,37,Male,High School,Machine Learning,239,1,83,44,65,High,53,Auditory,2,No
S00018,24,Female,Undergraduate,Machine Learning,150,3,98,20,83,Medium,62,Kinesthetic,5,No
S00019,38,Female,Undergraduate,Web Development,297,4,30,42,42,Low,86,Visual,4,No
S00020,40,Male,High School,Cybersecurity,409,4,45,8,50,Low,37,Visual,4,No
S00021,48,Male,Undergraduate,Machine Learning,222,4,65,28,95,Medium,44,Visual,4,No
S00022,28,Male,Postgraduate,Cybersecurity,96,3,51,38,83,High,69,Auditory,3,No
S00023,24,Female,Postgraduate,Cybersecurity,338,2,32,15,54,Medium,93,Visual,3,No
S00024,28,Female,High School,Data Science,452,2,85,49,45,Medium,68,Visual,4,No
S00025,40,Male,Undergraduate,Web Development,295,2,84,42,95,Medium,36,Auditory,2,No
S00026,23,Male,High School,Data Science,371,1,67,46,79,Low,32,Auditory,5,No
S00027,30,Male,High School,Python Basics,309,4,54,39,59,Medium,90,Visual,2,Yes
S00028,26,Male,Postgraduate,Cybersecurity,484,2,59,15,89,Low,87,Visual,4,No
S00029,30,Female,Undergraduate,Cybersecurity,67,4,99,27,89,Low,50,Reading/Writing,3,No
S00030,44,Male,Undergraduate,Web Development,408,4,44,44,90,Medium,65,Kinesthetic,4,No
S00031,17,Female,Postgraduate,Machine Learning,276,2,94,31,61,Medium,62,Kinesthetic,3,No
S00032,42,Female,High School,Cybersecurity,74,1,89,31,86,High,55,Kinesthetic,3,No
S00033,30,Female,Undergraduate,Data Science,350,2,54,49,52,Low,79,Kinesthetic,4,No
S00034,25,Male,Postgraduate,Data Science,321,4,45,28,46,High,61,Visual,5,No
S00035,17,Other,Undergraduate,Web Development,83,4,46,11,44,High,88,Auditory,2,No
S00036,21,Male,High School,Python Basics,77,2,35,29,64,High,67,Reading/Writing,5,Yes
